customer_id,age,gender,contract_type,monthly_spend,tenure_months,num_complaints,last_login_days_ago,num_products,email_engagement,support_calls,churned,churn_probability,complaint_group
2066,45,Male,Monthly,119.1,32,4,107,2,0.2,0,1,0.64,3+ Complaints
2067,20,Female,Monthly,34.0,15,3,13,2,0.86,7,0,0.405,3+ Complaints
2068,24,Male,Annual,21.04,33,5,72,1,0.94,7,0,0.512,3+ Complaints
2069,32,Female,Quarterly,69.5,38,1,81,2,0.84,3,0,0.322,1-2 Complaints
2070,25,Female,Quarterly,55.23,35,3,74,1,0.14,7,1,0.593,3+ Complaints
2071,24,Male,Annual,160.89,32,3,90,1,0.83,0,0,0.388,3+ Complaints
2072,52,Male,Annual,126.16,8,3,76,1,0.54,6,1,0.547,3+ Complaints
2073,63,Male,Annual,125.36,11,5,80,3,0.72,2,0,0.534,3+ Complaints
2074,48,Female,Monthly,181.64,55,3,27,2,0.33,6,0,0.459,3+ Complaints
2075,61,Male,Annual,174.94,23,2,101,4,0.04,6,1,0.634,1-2 Complaints
2076,45,Female,Quarterly,44.16,8,0,19,4,0.72,8,0,0.302,No Complaints
2077,20,Female,Monthly,136.8,25,4,66,3,0.77,3,0,0.497,3+ Complaints
2078,41,Male,Monthly,146.92,24,4,86,2,0.07,8,1,0.755,3+ Complaints
2079,49,Male,Annual,57.71,22,0,111,1,0.92,9,0,0.446,No Complaints
2080,51,Male,Quarterly,164.81,27,1,99,1,0.77,7,0,0.452,1-2 Complaints
2081,19,Male,Monthly,104.88,22,0,39,1,0.7,6,0,0.345,No Complaints
2082,52,Female,Annual,165.81,51,3,14,3,0.16,9,0,0.467,3+ Complaints
2083,56,Female,Quarterly,171.39,36,5,119,4,0.21,1,1,0.661,3+ Complaints
2084,43,Female,Monthly,103.32,30,0,5,3,0.38,2,0,0.264,No Complaints
2085,30,Female,Monthly,93.98,18,0,41,4,0.19,0,0,0.367,No Complaints
2086,63,Male,Monthly,42.0,14,1,77,2,0.83,5,0,0.436,1-2 Complaints
2087,29,Male,Quarterly,78.28,24,3,27,3,0.82,7,0,0.377,3+ Complaints
2088,18,Female,Monthly,199.17,50,5,110,1,0.27,0,1,0.642,3+ Complaints
2089,20,Female,Monthly,94.48,36,3,57,4,0.33,4,0,0.523,3+ Complaints
2090,24,Female,Quarterly,138.03,5,3,100,1,0.89,1,0,0.457,3+ Complaints
2091,40,Female,Quarterly,175.66,45,2,92,4,0.25,6,0,0.537,1-2 Complaints
2092,37,Male,Monthly,147.83,27,5,83,4,0.94,3,0,0.535,3+ Complaints
2093,22,Male,Monthly,68.33,43,5,77,2,0.49,5,1,0.616,3+ Complaints
2094,57,Female,Quarterly,23.91,1,2,58,2,0.02,5,1,0.57,1-2 Complaints
2095,33,Male,Quarterly,180.81,21,1,65,2,0.4,2,0,0.39,1-2 Complaints
2096,56,Male,Annual,58.06,5,4,84,1,0.12,5,1,0.678,3+ Complaints
2097,56,Male,Quarterly,32.22,10,3,27,4,0.45,4,0,0.43,3+ Complaints
2098,56,Female,Quarterly,118.87,38,5,111,4,0.19,8,1,0.75,3+ Complaints
2099,61,Female,Monthly,52.16,35,4,5,4,0.39,5,0,0.459,3+ Complaints
2100,26,Female,Monthly,171.28,20,0,101,3,0.33,4,0,0.521,No Complaints
2101,60,Male,Quarterly,115.73,50,3,29,1,0.45,9,0,0.442,3+ Complaints
2102,46,Male,Monthly,145.11,1,4,101,3,0.14,0,1,0.691,3+ Complaints
2103,22,Male,Monthly,191.42,32,4,45,2,0.47,4,0,0.516,3+ Complaints
2104,36,Female,Monthly,128.5,31,1,49,4,0.94,9,0,0.387,1-2 Complaints
2105,34,Male,Quarterly,192.29,12,4,4,4,0.33,4,0,0.442,3+ Complaints
2106,45,Male,Quarterly,94.9,17,4,78,1,0.56,6,1,0.572,3+ Complaints
2107,43,Female,Quarterly,21.81,23,5,9,3,0.83,2,0,0.344,3+ Complaints
2108,57,Female,Quarterly,47.18,26,2,20,4,0.32,5,0,0.389,1-2 Complaints
2109,38,Male,Monthly,199.41,27,3,104,1,0.89,4,0,0.524,3+ Complaints
2110,41,Male,Monthly,39.41,44,0,50,1,0.76,5,0,0.304,No Complaints
2111,41,Male,Annual,68.78,15,2,33,2,0.95,5,0,0.309,1-2 Complaints
2112,54,Male,Monthly,194.73,31,3,16,1,0.02,1,0,0.463,3+ Complaints
2113,18,Male,Monthly,71.77,20,3,87,3,0.89,4,0,0.5,3+ Complaints
2114,27,Male,Monthly,44.76,48,1,92,4,0.02,2,0,0.528,1-2 Complaints
2115,33,Female,Monthly,27.13,52,2,57,4,0.36,6,0,0.48,1-2 Complaints
2116,46,Male,Monthly,158.35,46,2,86,2,0.58,4,0,0.476,1-2 Complaints
2117,19,Female,Annual,25.14,42,2,46,4,0.61,7,0,0.389,1-2 Complaints
2118,37,Male,Annual,70.5,33,3,70,1,0.45,5,0,0.496,3+ Complaints
2119,37,Male,Monthly,20.02,14,5,116,3,0.94,0,1,0.58,3+ Complaints
2120,25,Female,Quarterly,72.41,48,0,70,1,0.99,4,0,0.228,No Complaints
2121,26,Male,Quarterly,32.55,40,3,92,3,0.7,2,0,0.435,3+ Complaints
2122,45,Female,Quarterly,151.65,38,0,1,1,0.09,9,0,0.356,No Complaints
2123,22,Female,Annual,196.15,54,2,104,2,0.73,1,0,0.376,1-2 Complaints
2124,52,Female,Monthly,123.53,46,3,92,1,0.76,1,0,0.448,3+ Complaints
2125,35,Male,Annual,29.45,21,4,29,4,0.38,3,0,0.454,3+ Complaints
2126,36,Male,Annual,164.08,53,3,63,4,0.72,5,0,0.394,3+ Complaints
2127,47,Female,Monthly,126.98,10,1,119,1,0.2,9,1,0.716,1-2 Complaints
2128,50,Male,Quarterly,149.46,42,4,106,4,0.81,2,0,0.479,3+ Complaints
2129,62,Female,Quarterly,197.18,5,3,37,3,0.15,8,1,0.579,3+ Complaints
2130,52,Male,Monthly,85.47,50,5,91,2,0.35,3,1,0.631,3+ Complaints
2131,43,Male,Monthly,103.05,44,0,8,2,0.3,1,0,0.248,No Complaints
2132,25,Female,Quarterly,176.35,54,5,69,1,0.66,6,0,0.512,3+ Complaints
2133,54,Male,Annual,50.01,15,5,105,2,0.9,1,0,0.529,3+ Complaints
2134,18,Male,Annual,118.47,56,1,37,3,0.23,8,0,0.398,1-2 Complaints
2135,57,Male,Monthly,59.35,53,3,70,4,0.93,7,0,0.446,3+ Complaints
2136,24,Female,Annual,114.07,7,0,34,4,0.65,6,0,0.319,No Complaints
2137,48,Female,Quarterly,105.16,57,3,74,2,0.82,9,0,0.45,3+ Complaints
2138,28,Female,Annual,55.83,36,4,37,4,0.91,0,0,0.295,3+ Complaints
2139,48,Female,Monthly,197.24,19,0,118,3,0.68,4,0,0.488,No Complaints
2140,45,Male,Quarterly,199.64,39,2,61,3,0.51,4,0,0.4,1-2 Complaints
2141,47,Female,Monthly,40.24,12,1,67,3,0.54,1,0,0.417,1-2 Complaints
2142,51,Female,Annual,150.94,36,2,101,3,0.24,6,1,0.572,1-2 Complaints
2143,24,Female,Quarterly,142.96,20,1,112,4,0.52,1,0,0.451,1-2 Complaints
2144,35,Male,Monthly,122.66,21,0,104,1,0.48,1,0,0.451,No Complaints
2145,51,Female,Quarterly,48.41,9,2,38,3,0.34,2,0,0.406,1-2 Complaints
2146,62,Female,Annual,120.35,25,2,51,3,1.0,7,0,0.35,1-2 Complaints
2147,45,Male,Monthly,49.9,3,2,67,3,0.42,8,1,0.601,1-2 Complaints
2148,35,Female,Annual,121.02,6,2,94,1,0.13,0,0,0.54,1-2 Complaints
2149,22,Female,Monthly,176.54,7,3,26,3,0.93,7,0,0.431,3+ Complaints
2150,32,Male,Annual,105.88,58,1,65,2,0.74,7,0,0.336,1-2 Complaints
2151,42,Female,Monthly,173.91,48,1,76,2,0.71,7,0,0.431,1-2 Complaints
2152,21,Male,Quarterly,70.81,14,2,109,4,0.53,7,1,0.583,1-2 Complaints
2153,48,Male,Quarterly,68.15,19,2,28,4,0.94,9,0,0.354,1-2 Complaints
2154,29,Male,Monthly,124.92,28,0,94,1,0.35,2,0,0.459,No Complaints
2155,53,Male,Monthly,28.11,40,3,10,2,0.16,3,0,0.437,3+ Complaints
2156,60,Female,Monthly,94.88,13,0,71,2,0.18,1,0,0.455,No Complaints
2157,50,Male,Quarterly,71.11,53,5,93,1,0.29,4,1,0.607,3+ Complaints
2158,47,Female,Quarterly,130.37,14,2,89,3,0.35,1,0,0.487,1-2 Complaints
2159,46,Female,Monthly,129.17,38,3,14,3,0.62,2,0,0.342,3+ Complaints
2160,57,Female,Quarterly,178.1,23,4,85,3,0.11,8,1,0.697,3+ Complaints
2161,28,Female,Quarterly,98.57,19,5,40,4,0.88,9,0,0.511,3+ Complaints
2162,62,Male,Annual,155.17,5,3,82,3,0.53,5,1,0.552,3+ Complaints
2163,52,Female,Quarterly,149.9,5,2,63,2,0.73,7,0,0.462,1-2 Complaints
2164,50,Female,Monthly,106.46,34,5,107,2,0.82,5,1,0.627,3+ Complaints
2165,29,Male,Monthly,154.47,32,1,7,1,0.86,8,0,0.299,1-2 Complaints
2166,45,Female,Annual,194.86,2,2,88,1,0.58,8,1,0.564,1-2 Complaints
2167,59,Female,Monthly,129.62,1,1,46,3,0.28,2,0,0.458,1-2 Complaints
2168,43,Male,Quarterly,115.86,12,1,53,3,0.06,8,0,0.538,1-2 Complaints
2169,24,Female,Quarterly,156.77,58,2,64,2,0.26,9,0,0.5,1-2 Complaints
2170,23,Male,Annual,198.07,6,2,50,4,0.51,3,0,0.417,1-2 Complaints
2171,18,Male,Annual,50.01,59,3,93,4,0.05,6,1,0.595,3+ Complaints
2172,52,Male,Quarterly,143.8,3,5,99,3,0.69,9,1,0.698,3+ Complaints
2173,37,Female,Monthly,143.84,24,4,72,4,0.34,1,1,0.567,3+ Complaints
2174,39,Male,Quarterly,157.92,38,5,76,4,0.6,8,1,0.595,3+ Complaints
2175,21,Female,Quarterly,155.91,32,1,100,1,0.28,2,0,0.469,1-2 Complaints
2176,44,Male,Monthly,41.25,17,3,69,4,0.92,2,0,0.431,3+ Complaints
2177,40,Male,Quarterly,158.21,31,2,22,4,0.35,2,0,0.334,1-2 Complaints
2178,21,Female,Annual,104.59,55,3,6,4,0.14,4,0,0.373,3+ Complaints
2179,49,Male,Quarterly,43.88,34,2,36,1,0.7,3,0,0.303,1-2 Complaints
2180,44,Female,Monthly,136.63,8,2,97,1,0.86,6,0,0.537,1-2 Complaints
2181,56,Male,Monthly,48.19,40,0,16,1,0.04,9,0,0.444,No Complaints
2182,60,Female,Quarterly,160.71,1,1,3,2,0.54,9,0,0.372,1-2 Complaints
2183,27,Male,Monthly,41.65,24,1,81,1,0.09,5,1,0.576,1-2 Complaints
2184,46,Female,Quarterly,88.85,15,4,94,4,0.78,8,1,0.595,3+ Complaints
2185,20,Female,Annual,73.97,24,1,34,2,0.19,9,0,0.468,1-2 Complaints
2186,54,Male,Annual,165.84,18,2,72,2,0.94,4,0,0.372,1-2 Complaints
2187,51,Male,Quarterly,148.1,17,2,30,2,0.36,5,0,0.417,1-2 Complaints
2188,32,Female,Monthly,199.46,10,3,68,1,0.86,4,0,0.483,3+ Complaints
2189,62,Female,Annual,68.7,39,4,30,1,0.8,3,0,0.342,3+ Complaints
2190,33,Female,Monthly,35.56,18,1,49,2,0.42,6,0,0.468,1-2 Complaints
2191,49,Male,Quarterly,180.11,8,4,38,2,0.52,6,0,0.512,3+ Complaints
2192,24,Male,Annual,70.94,5,1,23,1,0.93,4,0,0.254,1-2 Complaints
2193,51,Male,Quarterly,42.95,24,2,107,1,0.52,4,0,0.519,1-2 Complaints
2194,30,Male,Monthly,176.41,38,3,13,1,0.83,9,0,0.403,3+ Complaints
2195,59,Male,Annual,74.52,20,0,88,1,0.28,1,0,0.409,No Complaints
2196,26,Male,Monthly,63.23,8,4,115,2,0.22,1,1,0.707,3+ Complaints
2197,49,Female,Quarterly,50.6,17,5,98,4,0.35,4,1,0.666,3+ Complaints
2198,56,Male,Annual,151.91,3,1,90,4,0.21,2,0,0.511,1-2 Complaints
2199,27,Female,Monthly,182.89,56,5,113,3,0.58,9,1,0.711,3+ Complaints
2200,58,Female,Quarterly,132.42,42,0,78,1,0.35,8,0,0.442,No Complaints
2201,64,Female,Monthly,85.71,11,3,30,2,0.78,4,0,0.418,3+ Complaints
2202,58,Female,Quarterly,145.81,17,1,45,2,0.5,8,0,0.425,1-2 Complaints
2203,20,Male,Quarterly,149.48,23,4,21,4,0.05,9,1,0.59,3+ Complaints
2204,18,Female,Annual,89.72,56,0,62,3,0.67,6,0,0.292,No Complaints
2205,27,Male,Monthly,36.48,19,5,16,3,0.42,1,0,0.483,3+ Complaints
2206,47,Female,Annual,146.5,56,5,91,3,0.26,7,1,0.649,3+ Complaints
2207,60,Female,Quarterly,70.75,53,1,46,2,0.63,1,0,0.237,1-2 Complaints
2208,25,Female,Monthly,103.81,52,4,18,3,0.29,6,0,0.493,3+ Complaints
2209,29,Male,Monthly,42.12,44,3,39,1,0.7,5,0,0.413,3+ Complaints
2210,18,Female,Quarterly,106.12,46,5,16,2,0.5,2,0,0.387,3+ Complaints
2211,52,Female,Annual,35.6,24,5,1,1,0.52,1,0,0.373,3+ Complaints
2212,40,Male,Monthly,81.11,46,2,45,4,0.5,3,0,0.392,1-2 Complaints
2213,32,Female,Quarterly,117.71,4,3,95,2,0.17,7,1,0.682,3+ Complaints
2214,30,Female,Quarterly,108.57,36,0,65,4,0.77,7,0,0.326,No Complaints
2215,28,Female,Monthly,121.59,45,4,36,4,0.7,3,0,0.415,3+ Complaints
2216,45,Male,Monthly,64.24,52,3,67,2,0.34,0,0,0.455,3+ Complaints
2217,35,Male,Monthly,120.24,43,1,53,4,0.81,5,0,0.342,1-2 Complaints
2218,34,Male,Monthly,115.02,23,3,101,2,0.88,1,0,0.481,3+ Complaints
2219,61,Female,Monthly,58.66,15,4,46,4,0.23,9,1,0.67,3+ Complaints
2220,36,Male,Monthly,70.92,1,5,98,3,0.36,2,1,0.711,3+ Complaints
2221,28,Female,Monthly,199.4,16,5,92,2,0.09,8,1,0.817,3+ Complaints
2222,38,Female,Quarterly,89.63,26,3,58,4,0.45,2,0,0.438,3+ Complaints
2223,34,Female,Annual,94.74,14,5,97,3,0.21,5,1,0.712,3+ Complaints
2224,42,Male,Monthly,151.46,1,5,81,4,0.39,1,1,0.654,3+ Complaints
2225,27,Male,Monthly,144.08,20,5,73,2,0.43,2,1,0.613,3+ Complaints
2226,46,Male,Annual,167.09,8,2,44,2,0.46,9,0,0.501,1-2 Complaints
2227,48,Male,Annual,169.24,55,3,115,3,0.07,4,1,0.614,3+ Complaints
2228,19,Male,Annual,59.55,48,4,39,1,0.26,6,0,0.499,3+ Complaints
2229,60,Female,Annual,128.54,18,2,70,3,0.2,6,1,0.546,1-2 Complaints
2230,21,Male,Annual,74.47,8,3,119,1,0.14,3,1,0.672,3+ Complaints
2231,53,Male,Monthly,166.35,24,2,78,4,0.74,1,0,0.42,1-2 Complaints
2232,28,Male,Quarterly,118.61,31,1,52,2,0.79,7,0,0.344,1-2 Complaints
2233,28,Female,Quarterly,103.22,8,5,111,1,0.91,8,1,0.656,3+ Complaints
2234,36,Male,Monthly,141.07,16,1,67,4,0.4,4,0,0.483,1-2 Complaints
2235,59,Male,Annual,97.04,24,3,3,4,0.26,6,0,0.424,3+ Complaints
2236,19,Male,Monthly,128.22,56,3,31,3,0.19,3,0,0.448,3+ Complaints
2237,43,Female,Monthly,84.27,56,2,63,1,0.33,3,0,0.447,1-2 Complaints
2238,32,Female,Quarterly,190.48,6,0,32,3,0.4,8,0,0.397,No Complaints
2239,57,Male,Quarterly,61.76,2,2,37,3,0.17,2,0,0.45,1-2 Complaints
2240,59,Female,Monthly,188.0,30,1,3,2,0.93,9,0,0.295,1-2 Complaints
2241,25,Male,Quarterly,196.4,29,0,107,4,0.65,2,0,0.375,No Complaints
2242,34,Female,Quarterly,61.22,33,1,70,2,0.38,2,0,0.385,1-2 Complaints
2243,28,Female,Quarterly,124.83,7,0,47,3,0.09,3,0,0.413,No Complaints
2244,46,Male,Monthly,47.22,58,4,51,1,0.68,4,0,0.444,3+ Complaints
2245,42,Male,Annual,91.94,9,0,31,2,0.82,5,0,0.261,No Complaints
2246,25,Female,Quarterly,60.3,44,4,13,2,0.51,9,0,0.447,3+ Complaints
2247,43,Female,Quarterly,38.74,11,0,114,2,0.27,2,0,0.495,No Complaints
2248,44,Male,Monthly,127.81,18,0,20,2,0.66,9,0,0.365,No Complaints
2249,46,Female,Annual,93.22,5,5,2,1,0.4,7,0,0.521,3+ Complaints
2250,29,Female,Monthly,94.46,7,3,31,3,0.34,0,0,0.455,3+ Complaints
2251,42,Male,Monthly,197.78,12,2,58,2,0.7,7,0,0.496,1-2 Complaints
2252,51,Female,Monthly,136.39,36,1,10,3,0.62,4,0,0.287,1-2 Complaints
2253,36,Female,Monthly,83.39,10,5,19,1,0.88,6,0,0.487,3+ Complaints
2254,53,Male,Monthly,195.5,48,0,19,1,0.06,3,0,0.343,No Complaints
2255,40,Female,Monthly,132.28,19,5,88,1,0.85,3,1,0.577,3+ Complaints
2256,24,Male,Annual,69.63,19,1,44,4,0.82,9,0,0.371,1-2 Complaints
2257,58,Female,Monthly,193.18,42,3,52,1,0.91,9,0,0.461,3+ Complaints
2258,21,Male,Monthly,49.65,35,2,41,3,0.95,7,0,0.372,1-2 Complaints
2259,57,Female,Monthly,133.73,52,4,80,3,0.96,2,0,0.428,3+ Complaints
2260,23,Male,Monthly,57.19,52,2,63,4,0.92,5,0,0.366,1-2 Complaints
2261,63,Male,Annual,172.99,33,2,8,3,0.08,9,0,0.461,1-2 Complaints
2262,25,Male,Quarterly,20.63,40,4,103,1,0.13,3,1,0.627,3+ Complaints
2263,40,Male,Monthly,128.82,1,4,83,3,0.48,6,1,0.675,3+ Complaints
2264,23,Female,Annual,74.65,43,0,27,1,0.07,0,0,0.271,No Complaints
2265,51,Female,Monthly,113.8,10,2,74,3,0.95,9,0,0.513,1-2 Complaints
2266,40,Male,Quarterly,65.47,30,1,64,3,0.22,9,0,0.514,1-2 Complaints
2267,33,Female,Monthly,161.61,33,5,72,2,0.49,8,1,0.667,3+ Complaints
2268,24,Male,Monthly,164.24,23,4,48,4,0.54,2,0,0.494,3+ Complaints
2269,42,Female,Monthly,151.87,46,4,2,4,0.86,3,0,0.31,3+ Complaints
2270,52,Male,Monthly,91.47,17,1,42,2,0.18,5,0,0.488,1-2 Complaints
2271,52,Male,Monthly,68.94,28,3,2,2,0.94,0,0,0.24,3+ Complaints
2272,61,Male,Monthly,61.27,16,4,10,2,0.65,5,0,0.449,3+ Complaints
2273,58,Female,Annual,183.15,46,2,95,2,0.05,8,1,0.611,1-2 Complaints
2274,35,Female,Monthly,186.87,32,5,81,2,0.63,7,1,0.644,3+ Complaints
2275,47,Male,Quarterly,155.54,32,0,96,1,0.24,4,0,0.459,No Complaints
2276,58,Female,Quarterly,54.24,4,4,108,3,0.49,0,1,0.58,3+ Complaints
2277,35,Female,Monthly,196.08,33,3,86,2,0.15,2,1,0.594,3+ Complaints
2278,19,Male,Quarterly,192.85,59,0,115,3,0.53,1,0,0.35,No Complaints
2279,56,Female,Monthly,112.79,52,0,99,4,0.56,5,0,0.433,No Complaints
2280,54,Female,Annual,131.44,11,3,42,2,0.18,4,0,0.513,3+ Complaints
2281,54,Female,Quarterly,100.33,13,4,20,3,0.85,2,0,0.34,3+ Complaints
2282,62,Male,Quarterly,183.67,17,0,25,1,0.18,9,0,0.423,No Complaints
2283,64,Male,Quarterly,132.93,10,1,84,1,0.37,1,0,0.439,1-2 Complaints
2284,43,Male,Monthly,195.99,34,3,94,4,0.82,1,0,0.46,3+ Complaints
2285,40,Male,Monthly,150.54,52,0,79,1,0.44,5,0,0.415,No Complaints
2286,33,Female,Annual,127.09,48,0,104,4,0.02,9,1,0.568,No Complaints
2287,39,Male,Annual,171.98,45,2,119,3,0.96,0,0,0.361,1-2 Complaints
2288,29,Male,Quarterly,52.7,6,4,65,2,0.87,2,0,0.441,3+ Complaints
2289,56,Male,Monthly,107.8,21,0,1,4,0.37,4,0,0.303,No Complaints
2290,42,Male,Monthly,85.81,56,1,118,3,0.57,8,1,0.549,1-2 Complaints
2291,36,Female,Quarterly,132.59,29,0,102,1,0.39,0,0,0.386,No Complaints
2292,56,Male,Monthly,132.0,49,5,113,3,0.86,9,1,0.667,3+ Complaints
2293,20,Female,Monthly,58.7,33,0,60,3,0.08,8,0,0.524,No Complaints
2294,56,Male,Quarterly,185.39,23,2,78,3,0.16,3,0,0.517,1-2 Complaints
2295,32,Male,Quarterly,56.68,7,5,39,3,0.28,5,1,0.589,3+ Complaints
2296,23,Female,Monthly,74.53,57,2,2,1,0.18,8,0,0.423,1-2 Complaints
2297,37,Male,Quarterly,182.42,19,3,111,2,0.5,4,1,0.58,3+ Complaints
2298,22,Female,Monthly,109.61,21,5,113,1,0.24,2,1,0.732,3+ Complaints
2299,30,Male,Quarterly,111.53,37,4,14,1,0.13,7,0,0.507,3+ Complaints
2300,22,Male,Monthly,55.0,14,1,111,3,0.8,8,1,0.558,1-2 Complaints
2301,23,Male,Quarterly,131.82,45,1,3,2,0.7,2,0,0.161,1-2 Complaints
2302,56,Male,Annual,24.31,47,4,26,1,0.26,4,0,0.444,3+ Complaints
2303,21,Male,Monthly,188.13,29,4,10,4,0.16,0,0,0.45,3+ Complaints
2304,20,Male,Quarterly,115.04,20,3,97,2,0.13,5,1,0.638,3+ Complaints
2305,29,Male,Monthly,128.71,13,0,26,4,0.66,2,0,0.28,No Complaints
2306,64,Female,Monthly,145.38,17,5,81,1,0.99,7,1,0.597,3+ Complaints
2307,44,Male,Monthly,127.55,8,1,34,1,0.89,1,0,0.284,1-2 Complaints
