customer_id,age,gender,country,total_spent,num_purchases,last_purchase_days_ago,email_open_rate,channel,segment
1084,35,Male,Hungary,54.57,21,310,0.3,Paid Social,Lost
1085,64,Female,Hungary,235.9,29,283,0.78,Email,At Risk
1086,41,Female,Hungary,82.36,29,269,0.77,Email,Lost
1087,43,Male,Germany,57.98,7,241,0.69,Paid Social,Lost
1088,42,Male,France,181.71,24,245,0.97,Organic,At Risk
1089,62,Male,Austria,1.38,26,163,0.39,Paid Social,Potential
1090,58,Female,Hungary,1.92,17,60,0.13,Paid Social,Potential
1091,46,Female,Hungary,61.82,7,6,0.67,Referral,Potential
1092,32,Male,Hungary,9.35,13,197,0.73,Email,Lost
1093,62,Male,France,28.58,5,58,0.58,Paid Social,Potential
1094,18,Male,France,103.45,26,305,0.21,Paid Social,Lost
1095,42,Female,Hungary,405.61,17,217,0.5,Organic,At Risk
1096,24,Female,Poland,212.19,3,26,0.31,Referral,Champion
1097,26,Female,Hungary,179.7,7,303,0.43,Paid Social,At Risk
1098,41,Female,Germany,86.85,26,5,0.65,Paid Social,Potential
1099,18,Male,France,671.16,17,20,0.75,Paid Social,Champion
1100,61,Male,Austria,126.47,7,198,0.23,Email,Lost
1101,25,Male,France,22.78,21,59,0.41,Email,Potential
1102,41,Male,Austria,239.97,1,242,0.27,Email,At Risk
1103,28,Female,Hungary,30.21,17,146,0.2,Organic,Potential
1104,34,Female,Austria,105.87,17,273,0.78,Paid Social,Lost
1105,25,Male,Hungary,177.02,11,249,0.91,Organic,At Risk
1106,52,Male,Austria,518.31,25,14,0.37,Email,Champion
1107,52,Female,Germany,170.08,27,13,0.75,Organic,Potential
1108,50,Male,Austria,302.88,29,44,0.9,Paid Social,Champion
1109,22,Female,Germany,1234.0,3,19,0.85,Referral,Champion
1110,59,Male,France,35.24,15,63,0.18,Referral,Potential
1111,56,Male,Germany,80.3,29,239,0.96,Paid Social,Lost
1112,58,Male,France,125.46,21,337,0.38,Paid Social,Lost
1113,45,Male,Hungary,136.97,11,100,0.34,Organic,Potential
1114,24,Male,Hungary,132.34,26,163,0.06,Email,Potential
1115,26,Male,Hungary,595.44,28,122,0.49,Email,Champion
1116,25,Male,Hungary,312.97,16,44,0.11,Organic,Champion
1117,29,Female,Austria,234.06,25,360,0.25,Paid Social,At Risk
1118,51,Female,Hungary,92.54,22,317,0.32,Email,Lost
1119,50,Female,Poland,434.02,28,145,0.81,Referral,Champion
1120,40,Female,Hungary,775.61,9,327,0.88,Organic,At Risk
1121,41,Female,Hungary,430.37,24,363,0.3,Paid Social,At Risk
1122,54,Male,Austria,0.39,24,50,0.86,Organic,Potential
1123,52,Male,France,252.93,1,65,0.86,Organic,Champion
1124,61,Female,Germany,13.12,29,355,0.76,Referral,Lost
1125,57,Male,Germany,74.47,25,288,0.15,Email,Lost
1126,39,Female,France,15.34,22,164,0.69,Email,Potential
1127,44,Female,Hungary,231.46,16,141,0.95,Organic,Champion
1128,52,Male,Poland,290.06,9,314,0.68,Email,At Risk
1129,18,Male,Poland,30.4,19,128,0.33,Paid Social,Potential
1130,52,Male,France,121.06,12,239,0.5,Paid Social,Lost
1131,54,Female,Hungary,152.31,19,324,0.65,Paid Social,Lost
1132,64,Male,France,115.13,22,296,0.51,Organic,Lost
1133,31,Female,Hungary,32.25,9,187,0.12,Email,Lost
1134,20,Female,Hungary,135.73,7,208,0.31,Paid Social,Lost
1135,18,Female,Hungary,347.75,14,220,0.8,Organic,At Risk
1136,22,Male,Germany,18.41,29,190,0.86,Organic,Lost
1137,43,Male,Austria,20.89,19,346,0.14,Organic,Lost
1138,31,Female,France,109.54,19,284,0.95,Organic,Lost
1139,56,Male,France,710.65,2,352,0.33,Paid Social,At Risk
1140,44,Male,Germany,276.09,9,237,0.66,Email,At Risk
1141,26,Male,Hungary,283.82,13,194,0.75,Organic,At Risk
1142,32,Female,Hungary,112.32,15,287,0.81,Organic,Lost
1143,32,Female,Poland,225.14,3,259,0.95,Paid Social,At Risk
1144,43,Male,Hungary,2.55,11,246,0.31,Email,Lost
1145,59,Female,Austria,252.72,21,136,0.86,Paid Social,Champion
1146,30,Male,Germany,611.29,14,280,0.13,Paid Social,At Risk
1147,49,Male,Germany,237.06,25,271,0.71,Paid Social,At Risk
1148,56,Male,France,517.27,8,171,0.74,Organic,Champion
1149,49,Male,Germany,321.81,18,159,0.68,Organic,Champion
1150,21,Female,Austria,32.12,19,201,0.25,Email,Lost
1151,47,Female,Poland,581.86,16,45,0.87,Email,Champion
1152,54,Female,Germany,17.19,2,264,0.17,Paid Social,Lost
1153,40,Male,Hungary,190.87,8,71,0.05,Email,Champion
1154,56,Male,Germany,38.33,22,364,0.72,Email,Lost
1155,62,Male,Poland,2.94,6,103,0.48,Organic,Potential
1156,32,Female,Hungary,137.06,12,125,0.85,Paid Social,Potential
1157,60,Male,France,87.4,15,313,0.38,Organic,Lost
1158,46,Female,France,166.38,25,286,0.17,Organic,Lost
1159,53,Female,France,215.21,8,230,0.84,Email,At Risk
1160,30,Female,Hungary,11.18,4,146,0.55,Referral,Potential
1161,49,Female,France,32.81,15,197,0.19,Referral,Lost
1162,24,Female,Poland,204.47,28,221,0.72,Email,At Risk
1163,39,Female,Hungary,105.08,20,60,0.51,Organic,Potential
1164,45,Male,Hungary,326.57,25,98,0.6,Organic,Champion
1165,19,Male,Poland,264.1,17,171,0.46,Email,Champion
1166,59,Female,Hungary,467.06,13,173,0.83,Paid Social,Champion
1167,62,Female,Austria,294.81,18,151,0.83,Email,Champion
1168,23,Male,Germany,140.5,2,350,0.71,Email,Lost
1169,45,Female,Hungary,279.42,13,122,0.11,Email,Champion
1170,45,Female,Austria,80.53,13,108,0.84,Email,Potential
1171,61,Male,Germany,91.43,22,4,0.67,Organic,Potential
1172,61,Female,Germany,388.96,15,93,0.7,Email,Champion
1173,37,Female,Hungary,147.84,20,6,0.36,Referral,Potential
1174,47,Female,Germany,400.34,29,288,0.88,Organic,At Risk
1175,28,Male,Hungary,432.09,27,106,0.73,Email,Champion
1176,45,Male,Hungary,487.21,10,146,0.11,Paid Social,Champion
1177,42,Male,Poland,621.13,29,271,0.41,Referral,At Risk
1178,56,Female,Hungary,140.96,3,96,0.89,Organic,Potential
1179,50,Female,France,96.0,19,229,0.05,Paid Social,Lost
1180,18,Male,Hungary,218.19,3,202,0.96,Organic,At Risk
1181,44,Female,Austria,115.97,22,212,0.68,Email,Lost
1182,30,Female,Hungary,229.74,14,6,0.63,Organic,Champion
1183,58,Female,Poland,305.69,8,112,0.27,Organic,Champion
1184,20,Female,Germany,291.51,27,323,0.25,Paid Social,At Risk
1185,56,Female,Hungary,117.32,23,106,0.94,Referral,Potential
1186,23,Male,Hungary,45.64,4,139,0.3,Organic,Potential
1187,25,Female,Hungary,140.76,27,299,0.78,Organic,Lost
1188,44,Male,Germany,38.46,28,96,0.39,Email,Potential
1189,26,Female,Hungary,552.04,20,337,0.14,Paid Social,At Risk
1190,54,Male,Austria,106.12,11,297,0.01,Referral,Lost
1191,50,Female,Germany,41.94,26,214,0.54,Organic,Lost
1192,59,Male,Hungary,6.44,11,291,0.98,Email,Lost
1193,61,Female,France,259.49,27,22,0.37,Organic,Champion
1194,41,Male,France,253.27,11,193,0.36,Organic,At Risk
1195,32,Female,Hungary,104.11,2,150,0.34,Email,Potential
1196,49,Male,Hungary,18.6,17,247,0.52,Paid Social,Lost
1197,49,Female,Hungary,131.75,9,267,0.44,Email,Lost
1198,41,Male,France,93.21,28,251,0.88,Paid Social,Lost
1199,58,Male,France,282.62,28,3,0.51,Paid Social,Champion
1200,29,Female,Germany,232.71,2,316,0.51,Paid Social,At Risk
1201,56,Female,Austria,113.37,29,76,0.14,Referral,Potential
1202,19,Male,Austria,61.44,24,87,0.98,Organic,Potential
1203,20,Female,Germany,1106.46,15,270,0.25,Organic,At Risk
1204,54,Male,Austria,151.28,16,225,0.07,Paid Social,Lost
1205,34,Male,Hungary,291.41,25,18,0.66,Paid Social,Champion
1206,19,Male,Hungary,37.87,4,113,0.6,Organic,Potential
1207,19,Female,Hungary,166.18,8,251,0.42,Referral,Lost
1208,45,Male,Hungary,6.98,9,233,0.42,Organic,Lost
1209,40,Male,Germany,176.03,26,329,0.79,Referral,At Risk
1210,54,Female,Poland,831.18,26,279,0.2,Organic,At Risk
1211,49,Female,Hungary,121.21,5,202,0.82,Email,Lost
1212,50,Female,Hungary,9.94,16,83,0.65,Referral,Potential
1213,18,Female,Germany,7.86,13,125,0.42,Organic,Potential
1214,36,Male,Poland,122.75,7,175,0.46,Referral,Potential
1215,19,Male,Hungary,43.6,26,69,0.26,Paid Social,Potential
1216,61,Male,Germany,5.91,20,47,0.75,Referral,Potential
1217,43,Male,Hungary,352.87,17,256,0.51,Email,At Risk
1218,49,Female,Hungary,153.36,3,215,0.32,Paid Social,Lost
1219,23,Male,Poland,85.36,5,30,0.6,Organic,Potential
1220,49,Male,Poland,575.85,19,281,1.0,Paid Social,At Risk
1221,21,Female,Hungary,30.86,12,237,0.44,Organic,Lost
1222,28,Male,Poland,780.43,29,248,0.92,Organic,At Risk
1223,34,Male,France,94.21,27,25,0.35,Organic,Potential
1224,55,Male,Austria,548.22,7,74,0.05,Paid Social,Champion
1225,41,Male,Germany,230.92,28,206,0.2,Email,At Risk
1226,22,Male,Germany,438.19,9,314,0.42,Organic,At Risk
1227,51,Male,Germany,1034.0,28,94,0.22,Organic,Champion
1228,23,Female,France,85.06,6,127,0.0,Email,Potential
1229,39,Female,Hungary,811.92,29,25,0.92,Organic,Champion
1230,28,Male,Hungary,123.36,26,334,0.84,Organic,Lost
1231,33,Male,Hungary,121.74,17,355,0.74,Organic,Lost
1232,50,Female,France,104.03,16,116,0.17,Referral,Potential
1233,26,Male,Hungary,194.9,23,48,0.12,Email,Champion
1234,23,Male,France,41.85,3,226,0.07,Paid Social,Lost
1235,33,Male,Poland,201.7,21,266,0.72,Email,At Risk
1236,46,Female,Hungary,195.06,26,99,0.93,Paid Social,Champion
1237,20,Male,France,358.77,4,11,0.43,Email,Champion
1238,37,Female,Germany,448.42,10,85,0.12,Email,Champion
1239,53,Male,Austria,145.15,5,214,0.51,Email,Lost
1240,36,Female,Hungary,90.0,21,173,0.35,Organic,Potential
1241,43,Female,France,75.05,22,209,0.37,Organic,Lost
1242,20,Male,Austria,54.11,10,64,0.62,Paid Social,Potential
1243,36,Female,Poland,14.84,12,258,0.72,Referral,Lost
1244,37,Male,France,104.81,10,332,0.11,Paid Social,Lost
1245,49,Female,Germany,78.76,29,121,0.04,Email,Potential
1246,24,Male,France,848.44,13,298,0.99,Referral,At Risk
1247,58,Male,Austria,203.95,11,54,0.23,Organic,Champion
1248,50,Female,Germany,106.65,22,331,0.05,Email,Lost
1249,57,Male,Hungary,217.15,16,272,0.19,Email,At Risk
1250,56,Male,Poland,37.47,8,241,0.04,Referral,Lost
1251,35,Female,France,146.77,8,243,0.39,Referral,Lost
1252,57,Male,France,246.03,27,18,0.8,Email,Champion
1253,18,Male,Hungary,167.8,25,187,0.34,Organic,Lost
1254,28,Female,France,128.45,8,346,0.44,Email,Lost
1255,45,Female,Hungary,1272.76,13,144,0.68,Organic,Champion
1256,42,Male,France,530.72,27,262,0.51,Email,At Risk
1257,40,Male,Hungary,244.15,2,364,0.86,Referral,At Risk
1258,48,Female,France,210.63,12,239,0.87,Paid Social,At Risk
1259,47,Female,Poland,242.33,10,304,0.01,Email,At Risk
1260,59,Male,Hungary,56.2,12,298,0.78,Paid Social,Lost
1261,52,Female,Poland,125.69,11,76,0.46,Paid Social,Potential
1262,24,Male,Germany,10.06,15,188,0.99,Paid Social,Lost
1263,33,Male,Austria,161.35,16,333,0.48,Email,Lost
1264,43,Male,Austria,195.78,17,246,0.99,Referral,At Risk
1265,19,Male,Germany,64.61,26,130,0.75,Referral,Potential
1266,18,Male,France,831.26,2,315,0.25,Organic,At Risk
1267,29,Female,Austria,600.48,18,283,0.54,Referral,At Risk
1268,22,Female,Germany,320.16,12,79,0.99,Email,Champion
1269,54,Female,Hungary,190.56,19,72,0.86,Organic,Champion
1270,49,Female,France,510.0,26,263,0.1,Organic,At Risk
1271,26,Male,Austria,35.0,23,191,0.71,Organic,Lost
1272,58,Male,Austria,390.77,18,63,0.35,Referral,Champion
1273,52,Male,Austria,33.33,17,12,0.01,Email,Potential
1274,36,Male,Germany,395.23,6,141,0.4,Email,Champion
1275,33,Female,Austria,80.66,25,254,0.23,Organic,Lost
1276,20,Male,Hungary,524.08,15,43,0.82,Email,Champion
1277,37,Male,Germany,720.79,3,17,0.34,Organic,Champion
1278,41,Female,Hungary,40.28,6,63,0.83,Paid Social,Potential
1279,50,Female,Hungary,155.29,3,253,0.0,Email,Lost
1280,41,Female,Hungary,990.66,29,292,0.31,Organic,At Risk
1281,28,Female,Hungary,165.13,1,8,0.24,Email,Potential
1282,25,Male,France,497.94,13,325,0.23,Organic,At Risk
1283,53,Male,Hungary,222.13,28,90,0.07,Email,Champion
1284,55,Female,Germany,117.63,21,208,0.19,Paid Social,Lost
1285,57,Male,Hungary,84.14,26,292,0.56,Paid Social,Lost
1286,37,Male,Hungary,56.8,14,284,0.29,Organic,Lost
1287,52,Male,Hungary,358.66,13,118,0.42,Organic,Champion
1288,42,Female,Hungary,122.16,27,349,0.38,Referral,Lost
1289,52,Male,France,178.99,4,175,0.88,Organic,Champion
1290,42,Female,France,169.48,7,76,0.91,Email,Potential
1291,46,Male,France,215.26,22,101,0.49,Referral,Champion
1292,35,Male,Germany,501.69,10,151,0.33,Organic,Champion
1293,63,Male,Hungary,987.42,7,270,0.11,Organic,At Risk
1294,35,Female,Austria,130.89,21,71,0.95,Email,Potential
1295,19,Male,Germany,439.37,15,180,0.06,Referral,Champion
1296,52,Female,Germany,361.54,15,124,0.3,Referral,Champion
1297,33,Female,Hungary,213.05,4,293,0.3,Paid Social,At Risk
1298,58,Female,Hungary,781.16,23,285,0.32,Email,At Risk
1299,53,Male,Hungary,55.93,23,195,0.16,Organic,Lost
1300,50,Male,Hungary,28.93,6,228,0.78,Referral,Lost
1301,21,Male,Germany,480.97,24,275,0.12,Referral,At Risk
1302,50,Male,Germany,144.58,20,106,0.63,Organic,Potential
1303,31,Female,France,469.28,26,21,0.12,Organic,Champion
1304,38,Female,Austria,558.94,5,64,0.07,Organic,Champion
1305,37,Female,Austria,16.12,20,165,0.91,Organic,Potential
1306,25,Male,France,537.39,12,27,0.19,Email,Champion
1307,24,Female,Poland,148.7,1,311,0.82,Paid Social,Lost
1308,20,Male,Hungary,178.56,28,285,0.54,Organic,At Risk
1309,34,Female,Hungary,246.27,8,148,0.08,Paid Social,Champion
1310,50,Male,Hungary,652.22,1,281,0.96,Referral,At Risk
1311,29,Male,France,4.83,5,326,0.25,Email,Lost
1312,39,Female,Austria,161.97,22,319,0.86,Paid Social,Lost
1313,39,Female,Hungary,290.97,6,164,0.17,Organic,Champion
1314,63,Female,Poland,320.67,29,224,0.85,Referral,At Risk
1315,47,Female,Hungary,294.85,21,272,0.01,Email,At Risk
1316,55,Male,Poland,36.09,3,146,0.51,Organic,Potential
1317,55,Female,Hungary,88.95,15,356,0.77,Organic,Lost
1318,62,Female,Hungary,111.07,5,30,0.93,Organic,Potential
1319,25,Female,Germany,407.97,28,45,0.91,Organic,Champion
1320,44,Male,Hungary,81.7,24,275,0.82,Paid Social,Lost
1321,44,Male,Hungary,59.15,14,34,0.89,Referral,Potential
1322,51,Female,Hungary,789.26,18,141,0.2,Paid Social,Champion
1323,38,Male,Austria,2.23,16,318,0.28,Email,Lost
1324,47,Female,Germany,1532.21,6,221,0.29,Paid Social,At Risk
1325,50,Male,Hungary,282.39,25,356,0.38,Email,At Risk
1326,45,Male,France,440.75,24,22,0.39,Email,Champion
1327,64,Male,France,87.25,14,180,0.54,Organic,Potential
1328,50,Male,Hungary,3.6,27,329,0.16,Paid Social,Lost
1329,22,Female,Germany,334.73,24,231,0.69,Email,At Risk
1330,36,Female,Hungary,449.16,8,38,0.17,Organic,Champion
1331,21,Female,Hungary,337.23,29,70,0.31,Paid Social,Champion
1332,52,Male,France,38.54,7,116,0.5,Paid Social,Potential
1333,34,Female,Hungary,350.03,8,239,0.8,Referral,At Risk
1334,61,Female,Germany,366.25,13,335,0.74,Paid Social,At Risk
1335,45,Female,France,268.63,6,148,0.65,Email,Champion
1336,47,Male,Hungary,363.23,18,9,0.16,Paid Social,Champion
1337,46,Male,Germany,467.57,2,288,0.55,Email,At Risk
1338,63,Male,Hungary,237.72,8,50,0.09,Paid Social,Champion
1339,23,Female,Poland,23.19,11,338,0.38,Referral,Lost
1340,52,Female,Germany,167.18,1,5,0.41,Paid Social,Potential
1341,58,Female,Austria,20.21,22,343,0.04,Email,Lost
1342,54,Male,Germany,130.87,29,126,0.27,Email,Potential
1343,41,Male,Hungary,130.69,6,75,0.96,Paid Social,Potential
1344,46,Female,France,17.07,16,165,0.95,Organic,Potential
1345,63,Male,Poland,107.24,27,278,0.35,Organic,Lost
1346,48,Male,France,29.41,20,324,0.04,Organic,Lost
1347,52,Male,Austria,412.87,12,300,0.18,Referral,At Risk
1348,50,Male,Austria,737.63,11,290,0.39,Organic,At Risk
1349,38,Female,Hungary,18.77,29,77,0.95,Organic,Potential
1350,49,Male,Hungary,775.91,27,298,0.14,Email,At Risk
1351,40,Male,France,184.84,29,137,0.76,Paid Social,Champion
1352,50,Male,Germany,89.01,10,106,0.11,Paid Social,Potential
1353,20,Male,Austria,19.99,3,95,0.98,Organic,Potential
1354,35,Female,Poland,173.6,13,135,0.38,Referral,Champion
1355,42,Female,Hungary,395.6,27,68,0.78,Referral,Champion
1356,59,Male,Hungary,306.97,3,147,0.34,Referral,Champion
1357,48,Male,Austria,12.88,15,159,0.63,Paid Social,Potential
1358,20,Male,Hungary,18.92,16,163,0.19,Email,Potential
1359,57,Male,Austria,128.91,29,341,0.15,Organic,Lost
1360,63,Male,Germany,87.49,13,189,0.94,Organic,Lost
1361,41,Male,France,66.12,17,339,0.92,Organic,Lost
1362,49,Female,Hungary,82.48,3,95,0.89,Paid Social,Potential
1363,64,Male,France,406.75,20,181,0.63,Paid Social,Champion
1364,39,Female,Germany,662.07,11,288,0.81,Paid Social,At Risk
1365,40,Female,Germany,129.84,27,322,0.07,Organic,Lost
1366,19,Male,Hungary,591.41,21,187,0.33,Paid Social,At Risk
1367,44,Female,France,96.97,19,138,0.31,Email,Potential
1368,59,Female,Austria,161.77,22,130,0.64,Paid Social,Potential
1369,19,Female,Hungary,64.06,11,194,0.36,Email,Lost
1370,43,Female,Hungary,255.74,28,316,0.15,Organic,At Risk
1371,34,Female,Hungary,965.58,16,273,0.6,Email,At Risk
1372,57,Female,France,231.27,21,352,0.81,Paid Social,At Risk
1373,50,Male,France,110.72,3,144,0.38,Organic,Potential
1374,26,Female,Germany,260.9,22,16,0.13,Organic,Champion
1375,60,Female,Hungary,32.79,6,302,0.2,Email,Lost
1376,56,Female,Hungary,548.79,14,245,0.24,Email,At Risk
1377,46,Male,Germany,174.83,24,107,0.3,Paid Social,Champion
1378,59,Female,Germany,149.16,18,88,0.64,Organic,Potential
1379,43,Male,Poland,220.39,17,129,0.6,Referral,Champion
1380,52,Female,Hungary,245.06,4,341,0.7,Email,At Risk
1381,42,Male,France,18.62,23,4,0.36,Paid Social,Potential
1382,41,Male,Germany,286.91,15,327,0.82,Paid Social,At Risk
1383,30,Female,Germany,69.25,11,306,0.2,Organic,Lost
1384,24,Female,France,312.9,26,95,0.47,Email,Champion
1385,53,Male,France,432.25,3,209,0.8,Paid Social,At Risk
1386,62,Female,Poland,407.36,3,225,0.18,Referral,At Risk
1387,37,Male,Hungary,201.02,16,348,0.11,Paid Social,At Risk
1388,18,Male,Hungary,183.58,5,321,0.88,Paid Social,At Risk
1389,25,Male,France,38.54,21,47,0.34,Paid Social,Potential
1390,63,Male,Germany,373.3,29,181,0.68,Referral,Champion
1391,33,Male,Hungary,79.16,10,106,0.03,Email,Potential
1392,31,Female,Hungary,171.64,19,199,0.69,Paid Social,At Risk
1393,29,Male,Hungary,83.61,25,106,0.32,Email,Potential
1394,40,Male,Austria,35.92,4,280,0.06,Paid Social,Lost
1395,32,Female,Hungary,248.26,29,260,0.61,Paid Social,At Risk
1396,45,Male,Hungary,13.97,29,108,0.24,Organic,Potential
1397,51,Female,Hungary,345.22,19,19,0.39,Paid Social,Champion
1398,19,Female,Hungary,95.53,11,296,0.08,Organic,Lost
1399,49,Female,Hungary,0.03,2,306,0.15,Referral,Lost
1400,40,Male,Germany,178.91,10,171,0.3,Paid Social,Champion
1401,39,Male,Hungary,12.0,29,331,0.09,Referral,Lost
1402,42,Male,Austria,80.8,11,195,0.91,Paid Social,Lost
1403,39,Female,Hungary,306.88,25,12,0.01,Email,Champion
1404,39,Male,Germany,16.19,20,195,0.48,Paid Social,Lost
1405,59,Female,Austria,457.11,16,283,0.12,Organic,At Risk
1406,23,Male,France,0.96,19,182,0.31,Paid Social,Potential
1407,32,Female,Germany,70.86,23,305,0.93,Organic,Lost
1408,60,Male,Hungary,337.64,24,144,0.16,Email,Champion
1409,54,Male,Hungary,95.05,11,316,0.97,Paid Social,Lost
1410,50,Male,France,26.87,14,182,0.21,Email,Potential
1411,25,Female,Poland,111.66,2,30,0.74,Organic,Potential
1412,61,Female,France,78.81,23,84,0.55,Organic,Potential
1413,61,Male,Germany,462.42,28,166,0.88,Paid Social,Champion
1414,22,Male,France,93.98,5,284,0.55,Referral,Lost
1415,56,Female,Germany,388.89,27,281,0.53,Email,At Risk
1416,21,Female,Hungary,556.11,5,96,0.2,Paid Social,Champion
1417,23,Female,Germany,142.21,19,266,0.17,Paid Social,Lost
1418,62,Male,Poland,601.83,21,298,0.92,Organic,At Risk
1419,49,Female,Hungary,118.43,12,296,0.33,Referral,Lost
1420,47,Male,France,831.6,18,225,0.37,Email,At Risk
1421,64,Female,Hungary,23.38,4,333,0.76,Organic,Lost
1422,52,Male,Germany,290.4,22,361,0.34,Paid Social,At Risk
1423,57,Female,Hungary,170.21,17,42,0.95,Organic,Potential
1424,33,Female,Germany,122.61,10,303,0.74,Referral,Lost
1425,30,Female,Austria,250.4,20,246,0.6,Organic,At Risk
1426,59,Female,Hungary,304.23,6,208,0.88,Email,At Risk
1427,47,Female,France,1.09,25,237,0.05,Organic,Lost
